Tweet,Sentiment
@SMITEGame 1,Positive
"RT @ElevateGG: The God of War!Represent Elevate with the new Ares @SMITEGame Skin, available in the Elevate Bundle!#ElevateSmite #RedRe…",Positive
@bananamation90 @SMITEGame  https://t.co/1NzkPqHrsA,Positive
DM me if u play @SMITEGame  on the PS4!!,Positive
"RT @SMITEGame: Meet Artio, SMITE's newest goddess - entering the battleground in 4.14! #UrsaMajor https://t.co/L9pkqBVfqJ",Positive
@SMITEGame Suck me good farters,Positive
"RT @SMITEGame: Meet Artio, SMITE's newest goddess - entering the battleground in 4.14! #UrsaMajor https://t.co/L9pkqBVfqJ",Positive
@AlixAppleby @SMITEGame I agree,Positive
"RT @SMITEGame: Meet Artio, SMITE's newest goddess - entering the battleground in 4.14! #UrsaMajor https://t.co/L9pkqBVfqJ",Positive
"RT @SMITEGame: Meet Artio, SMITE's newest goddess - entering the battleground in 4.14! #UrsaMajor https://t.co/L9pkqBVfqJ",Positive
RT @Usgurald: Tu veux passer du coté obscure avec ce skin ? RT et follow ! Résultat dimanche soir ( only PC ) @SMITEGame  @SmiteGameFrance…,Positive
@SMITEGame @TheJoBexx People really like Jing Wei that much? Ok... Keep flying into death with that crap... I can r… https://t.co/gtc7DLrmG8,Negative
"RT @ElevateGG: The God of War!Represent Elevate with the new Ares @SMITEGame Skin, available in the Elevate Bundle!#ElevateSmite #RedRe…",Positive
"RT @ElevateGG: The God of War!Represent Elevate with the new Ares @SMITEGame Skin, available in the Elevate Bundle!#ElevateSmite #RedRe…",Positive
"@bananamation90 @SMITEGame ""It is beary nice too see you, do you have fish?"" 🐻🐻🐻🐻",Positive
